ERROR:root: id=12151抓取user时发生错误2016-05-10 23:26:28 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/578386
ERROR:root: id=2164抓取user时发生错误2016-05-10 23:26:28 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/190021
ERROR:root: id=34036抓取user时发生错误2016-05-10 23:26:28 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1403656
ERROR:root: id=7160抓取user时发生错误2016-05-10 23:26:29 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/385436
ERROR:root: id=8157抓取user时发生错误2016-05-10 23:26:30 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/429422
ERROR:root: id=37036抓取user时发生错误2016-05-10 23:26:30 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1539512
ERROR:root: id=5169抓取user时发生错误2016-05-10 23:26:30 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/311118
ERROR:root: id=26056抓取user时发生错误2016-05-10 23:26:30 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1102774
ERROR:root: id=9152抓取user时发生错误2016-05-10 23:26:30 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473326
ERROR:root: id=3155抓取user时发生错误2016-05-10 23:26:31 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/229365
ERROR:root: id=35033抓取user时发生错误2016-05-10 23:26:31 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1444648
ERROR:root: id=16061抓取user时发生错误2016-05-10 23:26:31 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/738553
ERROR:root: id=32038抓取user时发生错误2016-05-10 23:26:32 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1316477
ERROR:root: id=36038抓取user时发生错误2016-05-10 23:26:32 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1491172
